-- A quest is considered classic if it is included in vanilla Daggerfall or CompUSA Special Edition official add-on.
-- Total amount of classic DF quests (including broken): 249.
--   Main quests and tutorials: 36 (supported by the engine itself and not listed here)
--   Cure were/vamp: 2 (unsupported yet, not listed here)
-- The remaining 211 quests (including broken) and only them are listed here.
--
-- These classic quests are considered "mostly working" under quest system in current state
-- Please use the Quest Hub forums for bug reports: http://forums.dfworkshop.net/viewforum.php?f=25

-- name:        filename of QRC txt file
-- group:       guild group from FactionFile.GuildGroups enum, or social group from FactionFile.SocialGroups enum
-- membership:  N=non-member, M=member, P=prospect, T=Akatosh, A=Arkay, D=Dibella, J=Julianos, K=Kynareth, R=Mara, S=Stendarr, Z=Zenithar
-- minRep:      minimum reputation required to be offered the quest (units can use X wildcard)
-- notes:
-   "reward bug" is a script error where reward is given before quest completed
-   "questor clear bug" is a script error where clicking on questor will cause quest to end immediately after target complete
-   "no hot-placement" is a DFU bug where resources cannot be placed to an active interior/dungeon. Need to exit and re-enter interior
-   "needs more action support" means DFU quest system needs more development for these quests to work properly.

schema: *name, group, membership, minRep, notes

-- Classic: Fighters Guild
M0C00Y11, FightersGuild, N, 0, Passed
M0C00Y12, FightersGuild, N, 0, Passed
M0C00Y13, FightersGuild, N, 0, Passed
M0C00Y14, FightersGuild, N, 0, Passed
M0B00Y00, FightersGuild, M, 0, Passed
M0B00Y06, FightersGuild, M, 0, Passed
M0B00Y07, FightersGuild, M, 0, Passed
M0B00Y15, FightersGuild, M, 0, Passed
M0B00Y16, FightersGuild, M, 0, Passed
-M0B00Y17, FightersGuild, M, 0, FAILED needs more action support
M0B1XY01, FightersGuild, M, 1X, Passed
-M0B11Y18, FightersGuild, M, 11, FAILED needs more action support
M0B20Y02, FightersGuild, M, 20, Passed
-M0B21Y19, FightersGuild, M, 21, FAILED needs more action support
M0B30Y03, FightersGuild, M, 30, Passed
M0B30Y04, FightersGuild, M, 30, Passed
M0B30Y08, FightersGuild, M, 30, Passed
-M0B40Y04, FightersGuild, M, 40, BROKEN. QBN file is missing in DF+DFQFIX.
M0B40Y05, FightersGuild, M, 40, Passed. Possible to break if one-shotting spriggan
M0B50Y09, FightersGuild, M, 50, Passed
